Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
722,2016-12-01 9:13,2016-12-01 9:25,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,499,Broadway & W 60 St,40.76915505,-73.98191841,26363,Subscriber,1987,1
579,2016-12-01 9:17,2016-12-01 9:26,3139,E 72 St & Park Ave,40.77118288,-73.96409422,499,Broadway & W 60 St,40.76915505,-73.98191841,26630,Subscriber,1973,1
574,2016-12-01 9:18,2016-12-01 9:27,484,W 44 St & 5 Ave,40.75500254,-73.98014437,499,Broadway & W 60 St,40.76915505,-73.98191841,22108,Subscriber,1965,1
360,2016-12-01 9:22,2016-12-01 9:28,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,499,Broadway & W 60 St,40.76915505,-73.98191841,26043,Customer,,0
727,2016-12-01 9:23,2016-12-01 9:35,3142,1 Ave & E 62 St,40.7612274,-73.96094022,499,Broadway & W 60 St,40.76915505,-73.98191841,14661,Subscriber,1978,1
346,2016-12-01 9:26,2016-12-01 9:31,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,499,Broadway & W 60 St,40.76915505,-73.98191841,26544,Subscriber,1979,1
742,2016-12-01 9:29,2016-12-01 9:42,228,E 48 St & 3 Ave,40.7546011,-73.97187886,499,Broadway & W 60 St,40.76915505,-73.98191841,18417,Subscriber,1964,1
1442,2016-12-01 9:34,2016-12-01 9:58,309,Murray St & West St,40.7149787,-74.013012,499,Broadway & W 60 St,40.76915505,-73.98191841,23075,Subscriber,1977,1
1068,2016-12-01 9:39,2016-12-01 9:57,379,W 31 St & 7 Ave,40.749156,-73.9916,499,Broadway & W 60 St,40.76915505,-73.98191841,25957,Subscriber,1981,2
349,2016-12-01 9:53,2016-12-01 9:58,352,W 56 St & 6 Ave,40.76340613,-73.97722479,499,Broadway & W 60 St,40.76915505,-73.98191841,23470,Subscriber,1979,1
3849,2016-12-01 10:01,2016-12-01 11:05,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,18417,Customer,,0
242,2016-12-01 10:03,2016-12-01 10:07,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,499,Broadway & W 60 St,40.76915505,-73.98191841,23568,Subscriber,1960,1
1066,2016-12-01 10:34,2016-12-01 10:52,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,499,Broadway & W 60 St,40.76915505,-73.98191841,27175,Customer,,0
955,2016-12-01 10:44,2016-12-01 11:00,3168,Central Park West & W 85 St,40.78472675,-73.96961715,499,Broadway & W 60 St,40.76915505,-73.98191841,26621,Subscriber,1988,2
1401,2016-12-01 10:48,2016-12-01 11:12,483,E 12 St & 3 Ave,40.73223272,-73.98889957,499,Broadway & W 60 St,40.76915505,-73.98191841,23491,Subscriber,1971,2
399,2016-12-01 10:55,2016-12-01 11:01,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,499,Broadway & W 60 St,40.76915505,-73.98191841,18810,Subscriber,1966,2
1998,2016-12-01 11:04,2016-12-01 11:37,280,E 10 St & 5 Ave,40.73331967,-73.99510132,499,Broadway & W 60 St,40.76915505,-73.98191841,27285,Subscriber,1960,2
367,2016-12-01 11:05,2016-12-01 11:11,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,499,Broadway & W 60 St,40.76915505,-73.98191841,24314,Subscriber,1990,1
491,2016-12-01 11:06,2016-12-01 11:14,520,W 52 St & 5 Ave,40.75992262,-73.97648516,499,Broadway & W 60 St,40.76915505,-73.98191841,22850,Customer,,0
3452,2016-12-01 11:06,2016-12-01 12:04,520,W 52 St & 5 Ave,40.75992262,-73.97648516,499,Broadway & W 60 St,40.76915505,-73.98191841,26915,Customer,,0
1834,2016-12-01 11:12,2016-12-01 11:42,362,Broadway & W 37 St,40.75172632,-73.98753523,499,Broadway & W 60 St,40.76915505,-73.98191841,25846,Customer,,0
1813,2016-12-01 11:12,2016-12-01 11:42,362,Broadway & W 37 St,40.75172632,-73.98753523,499,Broadway & W 60 St,40.76915505,-73.98191841,24803,Customer,,0
772,2016-12-01 11:13,2016-12-01 11:26,385,E 55 St & 2 Ave,40.75797322,-73.96603308,499,Broadway & W 60 St,40.76915505,-73.98191841,18696,Subscriber,1969,1
602,2016-12-01 11:21,2016-12-01 11:31,305,E 58 St & 3 Ave,40.76095756,-73.96724467,499,Broadway & W 60 St,40.76915505,-73.98191841,27076,Subscriber,1976,2
161,2016-12-01 11:21,2016-12-01 11:24,468,Broadway & W 55 St,40.7652654,-73.98192338,499,Broadway & W 60 St,40.76915505,-73.98191841,23825,Subscriber,1989,1
733,2016-12-01 11:23,2016-12-01 11:35,385,E 55 St & 2 Ave,40.75797322,-73.96603308,499,Broadway & W 60 St,40.76915505,-73.98191841,14539,Subscriber,1983,2
1618,2016-12-01 11:23,2016-12-01 11:50,3363,E 102 St & Park Ave,40.7904828,-73.95033068,499,Broadway & W 60 St,40.76915505,-73.98191841,17250,Subscriber,1978,2
839,2016-12-01 11:27,2016-12-01 11:41,524,W 43 St & 6 Ave,40.75527307,-73.98316936,499,Broadway & W 60 St,40.76915505,-73.98191841,17784,Subscriber,1984,1
