Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
1175,2016-12-01 9:36,2016-12-01 9:56,499,Broadway & W 60 St,40.76915505,-73.98191841,3336,E 97 St & Madison Ave,40.787801,-73.953559,22925,Subscriber,1988,2
3848,2016-12-01 9:37,2016-12-01 10:41,499,Broadway & W 60 St,40.76915505,-73.98191841,3139,E 72 St & Park Ave,40.77118288,-73.96409422,26544,Subscriber,1953,1
844,2016-12-01 9:38,2016-12-01 9:52,499,Broadway & W 60 St,40.76915505,-73.98191841,490,8 Ave & W 33 St,40.751551,-73.993934,22108,Subscriber,1958,1
490,2016-12-01 9:41,2016-12-01 9:50,499,Broadway & W 60 St,40.76915505,-73.98191841,495,W 47 St & 10 Ave,40.76269882,-73.99301222,26043,Subscriber,1990,2
1270,2016-12-01 9:45,2016-12-01 10:07,499,Broadway & W 60 St,40.76915505,-73.98191841,3141,1 Ave & E 68 St,40.76500525,-73.95818491,14661,Subscriber,1985,1
255,2016-12-01 9:56,2016-12-01 10:00,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,20933,Subscriber,1976,1
3849,2016-12-01 10:01,2016-12-01 11:05,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,18417,Customer,,0
936,2016-12-01 10:03,2016-12-01 10:19,499,Broadway & W 60 St,40.76915505,-73.98191841,3231,E 67 St & Park Ave,40.7678008,-73.96592081,25957,Subscriber,1984,1
930,2016-12-01 10:08,2016-12-01 10:23,499,Broadway & W 60 St,40.76915505,-73.98191841,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23470,Subscriber,1947,2
491,2016-12-01 10:16,2016-12-01 10:24,499,Broadway & W 60 St,40.76915505,-73.98191841,479,9 Ave & W 45 St,40.76019252,-73.9912551,23568,Subscriber,1979,1
3844,2016-12-01 10:22,2016-12-01 11:26,499,Broadway & W 60 St,40.76915505,-73.98191841,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,23075,Subscriber,1960,1
544,2016-12-01 10:25,2016-12-01 10:34,499,Broadway & W 60 St,40.76915505,-73.98191841,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,18146,Subscriber,1985,1
575,2016-12-01 10:54,2016-12-01 11:04,499,Broadway & W 60 St,40.76915505,-73.98191841,525,W 34 St & 11 Ave,40.75594159,-74.0021163,27175,Subscriber,1969,1
779,2016-12-01 11:24,2016-12-01 11:37,499,Broadway & W 60 St,40.76915505,-73.98191841,3293,W 92 St & Broadway,40.7921,-73.9739,24314,Subscriber,1990,2
689,2016-12-01 11:39,2016-12-01 11:51,499,Broadway & W 60 St,40.76915505,-73.98191841,3143,5 Ave & E 78 St,40.77682863,-73.96388769,27076,Subscriber,1970,1
598,2016-12-01 11:41,2016-12-01 11:51,499,Broadway & W 60 St,40.76915505,-73.98191841,3285,W 87 St  & Amsterdam Ave,40.78839,-73.9747,22850,Subscriber,1966,2
324,2016-12-01 11:47,2016-12-01 11:53,499,Broadway & W 60 St,40.76915505,-73.98191841,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,23825,Subscriber,1972,1
415,2016-12-01 11:49,2016-12-01 11:56,499,Broadway & W 60 St,40.76915505,-73.98191841,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,17784,Subscriber,1975,1
1399,2016-12-01 11:50,2016-12-01 12:13,499,Broadway & W 60 St,40.76915505,-73.98191841,3343,W 107 St & Columbus Ave,40.7997568,-73.96211287,23491,Subscriber,1964,1
397,2016-12-01 11:59,2016-12-01 12:06,499,Broadway & W 60 St,40.76915505,-73.98191841,3165,Central Park West & W 72 St,40.77579377,-73.97620574,18658,Subscriber,1985,1
1641,2016-12-01 12:01,2016-12-01 12:28,499,Broadway & W 60 St,40.76915505,-73.98191841,517,Pershing Square South,40.751581,-73.97791,26621,,1966,2
1456,2016-12-01 12:04,2016-12-01 12:28,499,Broadway & W 60 St,40.76915505,-73.98191841,517,Pershing Square South,40.751581,-73.97791,18417,,1980,1
1071,2016-12-01 12:11,2016-12-01 12:29,499,Broadway & W 60 St,40.76915505,-73.98191841,3350,W 100 St & Broadway,40.7973721,-73.97041192,24803,Subscriber,1954,1
1948,2016-12-01 12:14,2016-12-01 12:46,499,Broadway & W 60 St,40.76915505,-73.98191841,3158,W 63 St & Broadway,40.77163851,-73.98261428,23872,Subscriber,1987,1
1501,2016-12-01 12:19,2016-12-01 12:44,499,Broadway & W 60 St,40.76915505,-73.98191841,116,W 17 St & 8 Ave,40.74177603,-74.00149746,26915,Subscriber,1973,1
2982,2016-12-01 12:20,2016-12-01 13:10,499,Broadway & W 60 St,40.76915505,-73.98191841,237,E 11 St & 2 Ave,40.73047309,-73.98672378,27285,Subscriber,1971,2
649,2016-12-01 12:23,2016-12-01 12:34,499,Broadway & W 60 St,40.76915505,-73.98191841,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,27165,,1986,1
1030,2016-12-01 12:24,2016-12-01 12:41,499,Broadway & W 60 St,40.76915505,-73.98191841,228,E 48 St & 3 Ave,40.7546011,-73.97187886,18627,Subscriber,1979,2
1626,2016-12-01 12:25,2016-12-01 12:53,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,24284,Subscriber,1964,1
1324,2016-12-01 12:28,2016-12-01 12:50,499,Broadway & W 60 St,40.76915505,-73.98191841,3336,E 97 St & Madison Ave,40.787801,-73.953559,14539,Subscriber,1978,2
236,2016-12-01 12:29,2016-12-01 12:33,499,Broadway & W 60 St,40.76915505,-73.98191841,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,21959,Subscriber,1984,1
465,2016-12-01 12:36,2016-12-01 12:44,499,Broadway & W 60 St,40.76915505,-73.98191841,480,W 53 St & 10 Ave,40.76669671,-73.99061728,25846,Subscriber,1992,1
274,2016-12-01 12:41,2016-12-01 12:45,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,18810,Subscriber,1977,1
938,2016-12-01 12:43,2016-12-01 12:59,499,Broadway & W 60 St,40.76915505,-73.98191841,3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,17250,Subscriber,1948,2
1161,2016-12-01 12:45,2016-12-01 13:04,499,Broadway & W 60 St,40.76915505,-73.98191841,526,E 33 St & 5 Ave,40.74765947,-73.98490707,21400,Subscriber,1961,0
2081,2016-12-01 12:48,2016-12-01 13:23,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,17421,Subscriber,1991,1
245,2016-12-01 13:00,2016-12-01 13:04,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,24829,,1994,1
